order_id,shipment_id,carrier,tracking_id,ship_date,eta_date,delivered_date,ship_status,last_location
ORD-5001,SHP-9001,BlueDart,TRK-BD-4410287,2026-08-03,2026-08-07,2026-08-06,delivered,Pune
ORD-5002,SHP-9002,Delhivery,TRK-DL-7729145,2026-08-04,2026-08-08,2026-08-08,delivered,Bengaluru
ORD-5003,SHP-9003,Ekart,TRK-EK-3318902,2026-08-05,2026-08-09,2026-08-08,delivered,Chennai
ORD-5004,SHP-9004,BlueDart,TRK-BD-4410331,2026-08-06,2026-08-10,2026-08-09,returned_to_origin,Mumbai hub
ORD-5005,SHP-9005,IndiaPost,TRK-IP-5602118,2026-08-07,2026-08-12,2026-08-12,delivered,Kolkata
ORD-5006,SHP-9006,Delhivery,TRK-DL-7729288,2026-08-08,2026-08-12,2026-08-11,delivered,Hyderabad
ORD-5008,SHP-9008,Ekart,TRK-EK-3319044,2026-08-10,2026-08-14,2026-08-13,delivered,Kochi
ORD-5009,SHP-9009,BlueDart,TRK-BD-4410456,2026-08-11,2026-08-15,2026-08-14,returned_to_origin,Delhi hub
ORD-5010,SHP-9010,IndiaPost,TRK-IP-5602233,2026-08-12,2026-08-17,2026-08-17,delivered,Jaipur
ORD-5011,SHP-9011,Delhivery,TRK-DL-7729401,2026-08-13,2026-08-17,2026-08-16,delivered,Ahmedabad
ORD-5012,SHP-9012,Ekart,TRK-EK-3319177,2026-08-14,2026-08-18,2026-08-17,delivered,Lucknow
ORD-5013,SHP-9013,BlueDart,TRK-BD-4410577,2026-08-15,2026-08-19,2026-08-18,returned_to_origin,Pune hub
ORD-5014,SHP-9014,Delhivery,TRK-DL-7729533,2026-08-16,2026-08-20,2026-08-19,delivered,Bengaluru
ORD-5015,SHP-9015,BlueDart,TRK-BD-4410688,2026-08-17,2026-08-21,2026-08-21,delivered,Chennai
ORD-5016,SHP-9016,Ekart,TRK-EK-3319290,2026-08-18,2026-08-22,2026-08-21,delivered,Nagpur
ORD-5018,SHP-9018,IndiaPost,TRK-IP-5602399,2026-08-20,2026-08-25,2026-08-24,delivered,Indore
ORD-5019,SHP-9019,Delhivery,TRK-DL-7729677,2026-08-21,2026-08-25,2026-08-24,returned_to_origin,Kolkata hub
ORD-5020,SHP-9020,BlueDart,TRK-BD-4410799,2026-08-22,2026-08-26,2026-08-25,delivered,Kochi
ORD-5021,SHP-9021,Ekart,TRK-EK-3319411,2026-08-23,2026-08-27,2026-08-26,delivered,Hyderabad
ORD-5022,SHP-9022,Delhivery,TRK-DL-7729810,2026-08-24,2026-08-28,2026-08-28,delivered,Jaipur
ORD-5023,SHP-9023,BlueDart,TRK-BD-4410911,2026-08-25,2026-08-29,2026-08-28,returned_to_origin,Mumbai hub
ORD-5024,SHP-9024,IndiaPost,TRK-IP-5602512,2026-08-26,2026-08-31,2026-08-31,delivered,Bhopal
ORD-5025,SHP-9025,Delhivery,TRK-DL-7729944,2026-08-27,2026-08-31,2026-08-30,delivered,Pune
ORD-5027,SHP-9027,BlueDart,TRK-BD-4411022,2026-08-29,2026-09-02,2026-09-01,delivered,Chennai
ORD-5028,SHP-9028,Ekart,TRK-EK-3319588,2026-08-30,2026-09-03,2026-09-02,delivered,Coimbatore
ORD-5029,SHP-9029,Delhivery,TRK-DL-7730077,2026-08-31,2026-09-04,,in_transit,Nagpur sorting hub
ORD-5030,SHP-9030,BlueDart,TRK-BD-4411133,2026-09-01,2026-09-05,,in_transit,Surat sorting hub
ORD-5031,SHP-9031,Ekart,TRK-EK-3319701,2026-09-02,2026-09-06,,in_transit,Bhopal transit point
ORD-5032,SHP-9032,IndiaPost,TRK-IP-5602644,2026-09-03,2026-09-09,,in_transit,Kanpur transit point
ORD-5033,SHP-9033,Delhivery,TRK-DL-7730199,2026-09-03,2026-09-08,,out_for_delivery,Bengaluru local facility
ORD-5034,SHP-9034,BlueDart,TRK-BD-4411244,2026-09-04,2026-09-08,,out_for_delivery,Jaipur local facility
ORD-5035,SHP-9035,Ekart,TRK-EK-3319822,2026-09-04,2026-09-08,,out_for_delivery,Ahmedabad local facility
ORD-5036,SHP-9036,Delhivery,TRK-DL-7730311,2026-09-05,2026-09-10,,in_transit,Lucknow sorting hub
