call_id,date,agent_name,call_type,direction,duration_mins,transcript,channel,sla_met
CALL-1001,2026-08-22,Rahul,replacement,inbound,7,"Agent: Good morning, thank you for calling customer support, this is Rahul. How may I help you today?
Customer: Hi, the blender I bought last month arrived with a cracked jar.
Agent: I'm sorry to hear that, that must be frustrating. May I have your order ID and the name on the account, please?
Customer: Order ORD-8823, and the name is Meera Nair.
Agent: Thank you, Meera, that's verified. I'm logging this as a replacement request, and since the purchase was 28 days ago you're well inside our 90-day replacement window.
Customer: Do you need proof of purchase from me?
Agent: No, your invoice is already on file, so that's covered. The replacement is dispatched within 3-5 business days with a tracking number by SMS.
Customer: Perfect. Any conditions I should know about?
Agent: Only one replacement is allowed per order, and misuse damage isn't covered, neither of which affects you here.
Customer: Understood, thank you.
Agent: To summarise, replacement approved on ORD-8823, dispatch in 3-5 business days. Thank you for calling, Meera, have a great day.",phone,Yes
CALL-1002,2026-08-21,Priya,repair,inbound,9,"Agent: Good afternoon, you've reached technical service, my name is Priya. How can I assist you?
Customer: Hello, my washing machine makes a loud grinding noise during the spin cycle.
Agent: I understand, a grinding noise on spin is definitely not normal. Could you confirm your registered mobile number and the account name so I can verify the record?
Customer: It ends 4410, account under Sanjay Verma.
Agent: Thank you, Sanjay, verified. I'm booking this as a repair request, and you'll have an acknowledgement with a ticket number within 24 hours.
Customer: How long does the repair itself take?
Agent: A standard repair is completed within 7 business days from when the unit reaches our service centre, and you'll get an SMS at each stage.
Customer: And if the part has to come from the manufacturer?
Agent: Then it's classified as a complex repair, up to 14 business days, and I'll inform you the moment it's reclassified. If we exceed the SLA, you're entitled to a free temporary replacement.
Customer: That's reassuring, thank you.
Agent: My pleasure. So, repair ticket raised, 7 business day standard SLA, SMS updates throughout. Thank you for calling, Sanjay, have a good day.",phone,Yes
CALL-1003,2026-08-20,Amit,logistics,inbound,6,"Agent: Hello and welcome to support chat, this is Amit. How can I help you today?
Customer: Hi, I want to return a pair of headphones but I don't know how to ship them back.
Agent: Happy to walk you through it. May I have your order ID and the email address on the account for verification?
Customer: ORD-9155, email is deepa.k@example.com.
Agent: Thank you, Deepa, that matches our records. I'm treating this as a returns and logistics request.
Customer: Do I have to pay the courier?
Agent: Not at all. We email you a prepaid return label, so return shipping costs you nothing. Please pack the headphones in the original box with accessories where possible.
Customer: And the refund?
Agent: Once the item is received and inspected at the warehouse, the refund is processed within 5-7 business days to your original payment method. I'll share the return tracking number as soon as pickup is scheduled.
Customer: Perfect, thanks for the clear answer.
Agent: You're welcome. To recap: prepaid label to your email, original packaging preferred, refund within 5-7 business days of receipt. Thanks for chatting with us, Deepa, take care.",chat,Yes
CALL-1004,2026-08-19,Sara,device,inbound,11,"Agent: Good morning, device support, Sara speaking. How may I help you?
Customer: Hi, I just bought your smart thermostat and I can't get it to connect to my wifi.
Agent: I'm sorry the setup isn't going smoothly, let's get that sorted. Can I confirm the account name and registered email, please?
Customer: Arjun Menon, arjun.m@example.com.
Agent: Thank you, Arjun, verified. I'm logging this as a device setup request, and I'm emailing you our basic troubleshooting guide now, which is our standard first step.
Customer: Okay, what do we try after that?
Agent: Let's confirm your router is broadcasting a 2.4 gigahertz band, and I'll take you through splitting the dual band step by step.
Customer: That did it, it's connected now.
Agent: Excellent. For future reference, setup support runs Monday to Saturday, 9 am to 6 pm, and as a premium customer you can also request a remote screen share.
Customer: Good to know. What if it had been a fault in the unit?
Agent: A hardware issue beyond software support gets escalated to the repair team. To summarise: thermostat connected, guide in your inbox. Thank you for calling, Arjun, have a wonderful day.",phone,Yes
CALL-1005,2026-08-18,James,escalation,inbound,12,"Agent: Good afternoon, thank you for calling support, my name is James. How can I help you?
Customer: I've called twice about my refund and nothing has happened. I want this dealt with properly.
Agent: I completely understand your frustration, and I'm sorry you've had to call back. May I have your order ID and account name so I can review the history?
Customer: ORD-7741, Nisha Rao.
Agent: Thank you, Nisha, verified. I can see two previous contacts with no resolution, which meets our escalation trigger, so I'm raising a formal escalation.
Customer: What does that actually mean for me?
Agent: The case is assigned to a senior agent within 2 hours, and they own it until closure. You'll receive an email and an SMS with the escalation reference and their name.
Customer: How long until it's resolved?
Agent: The escalation team works to a 24-hour resolution SLA. If they can't resolve it in that window, they will call you with a status update and a committed date.
Customer: Alright, that sounds better than what I've had so far.
Agent: I appreciate your patience. To summarise: escalation raised on ORD-7741, senior agent within 2 hours, email and SMS confirmation, 24-hour resolution target. Thank you for calling, Nisha, have a good day.",phone,Yes
CALL-1006,2026-08-17,Rahul,repair,outbound,5,"Agent: So about your microwave, the technician says the magnetron is gone.
Customer: Um, hello? Who is this?
Agent: Service team. Could you confirm your ticket number and the name on the account?
Customer: RPR-3390, Ismail Khan.
Agent: Thanks, that's verified. The part has to come from the manufacturer, so this is a complex repair, up to 14 business days.
Customer: That's a long time. Will I get updates?
Agent: You'll get an SMS at each stage: received, diagnosis, repair, quality check and dispatch.
Customer: And if it takes longer than 14 days?
Agent: Then you're entitled to a temporary replacement unit at no cost until yours is back.
Customer: Fine, please go ahead.
Agent: It's logged, Ismail. To summarise, complex repair up to 14 business days with SMS updates. Thanks for your time and have a good day.",phone,No
CALL-1007,2026-08-16,Priya,replacement,inbound,8,"Agent: Hi, thanks for reaching out to support chat, I'm Priya. What can I do for you today?
Customer: My electric kettle stopped heating after three weeks.
Agent: That's disappointing so soon after purchase, I'm sorry about that. Could you share your order ID and the name on the order?
Customer: ORD-9302, Karan Bhatt.
Agent: Thank you, Karan, verified. I'm raising this as a replacement request. The purchase was 21 days ago, so you're well inside the 90-day window and your invoice on file covers proof of purchase.
Customer: Anything I need to send back?
Agent: Yes, the faulty kettle goes back on the prepaid label we'll email you, and the replacement dispatches within 3-5 business days.
Customer: And if the new one fails too?
Agent: Only one replacement is allowed per order, so we'd route that to the repair team under the repair SLA. I'll note it on the ticket so there are no surprises.
Customer: Fair enough, thanks for being upfront.
Agent: Of course. Summary: replacement approved on ORD-9302, dispatch in 3-5 business days, prepaid return label by email. Thanks for chatting with us, Karan, have a great day.",chat,Yes
CALL-1008,2026-08-16,Amit,device,inbound,10,"Agent: Good morning, thank you for writing in to device support. My name is Amit and I'll be handling your case.
Customer: Hello, my wireless printer keeps dropping off the network after every firmware update.
Agent: Thank you for the detail, a drop after every update points to a configuration issue rather than a fault. Could you confirm the account name and registered email so I can verify the record?
Customer: Ritu Shah, ritu.shah@example.com.
Agent: Verified, thank you Ritu. I'm logging this as a device support request and I've attached our basic troubleshooting guide, which we send on first contact.
Customer: Which part should I start with?
Agent: Steps 3 to 5, which cover re-registering the printer after a firmware update. If those don't resolve it, we can arrange a remote screen share, available on your premium plan.
Customer: And if it turns out to be the wifi card itself?
Agent: Then it's a hardware issue beyond software support, and I'd escalate it to the repair team, after which it follows the repair SLA.
Customer: That's clear, I'll write back tomorrow.
Agent: To summarise: guide attached, try steps 3 to 5, reply here and I'll book a screen share. Our hours are Monday to Saturday, 9 am to 6 pm. Thank you for contacting us, Ritu, have a good day.",email,Yes
CALL-1009,2026-08-15,Sara,logistics,inbound,7,"Agent: Good afternoon, returns and logistics, Sara speaking. How can I help you?
Customer: Hi, I shipped a return two weeks ago and there's still no refund.
Agent: I'm sorry for the wait, let me check that right away. May I have your order ID and the name on the account?
Customer: ORD-6688, Farhan Ali.
Agent: Thank you, Farhan, verified. I'm handling this as a logistics query, and I can see the return was received and has passed inspection.
Customer: So where is my money?
Agent: Refunds are processed within 5-7 business days of receipt, and yours was received four business days ago, so it's still inside the window and will go to your original payment method.
Customer: And if it had gone missing on the way?
Agent: Lost-in-transit claims can be raised within 30 days of dispatch, so you'd still have been covered. I'm resending your return tracking number by SMS now.
Customer: Good to know, thanks.
Agent: To recap: return received and inspected, refund due within the 5-7 business day window, tracking resent. Thank you for calling, Farhan, have a lovely day.",phone,Yes
CALL-1010,2026-08-14,James,replacement,inbound,6,"Agent: Good morning, thank you for calling support, James speaking. How can I help you?
Customer: Hi, my speaker arrived with a dented grille and I want it replaced.
Agent: I'm sorry it reached you damaged. I'll raise this as a replacement request.
Customer: Don't you need my order number?
Agent: It's fine, I'll just log it under a damaged-on-arrival note.
Customer: If you're sure. When would it arrive?
Agent: Replacements are dispatched within 3-5 business days once approved, and the faulty unit goes back on a prepaid label.
Customer: And it's within the return period, right?
Agent: Based on what you've told me you're inside the 90-day window, so that's fine.
Customer: Great, thank you.
Agent: To summarise, a replacement speaker is being arranged, dispatch in 3-5 business days. Thank you for calling and have a good day.",phone,No
